City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Port-Gentil,GA,2021-06-07 00:12:07,-0.7193,8.7815,77.79,89,72,8.57
234,Muisne,EC,2021-06-07 00:08:09,0.6,-80.0333,76.37,86,100,12.12
235,Carahue,CL,2021-06-07 00:12:07,-38.7,-73.1667,41.2,90,98,2.86
236,Batemans Bay,AU,2021-06-07 00:08:14,-35.7167,150.1833,59.92,58,90,4.27
237,Savannah Bight,HN,2021-06-07 00:09:28,16.45,-85.85,84.25,83,77,29.26
238,Kibre Mengist,ET,2021-06-07 00:12:08,5.8833,38.9833,59.65,94,100,3.31
239,Maniitsoq,GL,2021-06-07 00:12:08,65.4167,-52.9,39.06,94,100,9.4
240,Kuhdasht,IR,2021-06-07 00:12:08,33.535,47.6061,67.06,23,0,5.26
241,Xichang,CN,2021-06-07 00:08:31,27.8964,102.2634,64.9,96,99,1.07
242,Makakilo City,US,2021-06-07 00:02:35,21.3469,-158.0858,82.56,52,14,20.31
243,Marsabit,KE,2021-06-07 00:12:09,2.3284,37.9899,61.83,81,16,17.96
244,Maldonado,UY,2021-06-07 00:03:43,-34.6667,-54.9167,49.23,91,35,4.94
245,Oudtshoorn,ZA,2021-06-07 00:12:09,-33.5907,22.2014,70.16,29,3,8.97
246,Belaya Gora,RU,2021-06-07 00:12:10,68.5333,146.4167,44.47,62,98,3.13
247,Tandil,AR,2021-06-07 00:10:07,-37.3217,-59.1332,49.1,62,100,1.01
248,Batagay-Alyta,RU,2021-06-07 00:02:19,67.8006,130.4114,49.91,47,97,9.33
249,Yulara,AU,2021-06-07 00:02:29,-25.2406,130.9889,56.75,39,33,2.95
250,Ixtapa,MX,2021-06-07 00:04:42,20.7,-105.2,84.22,76,75,4.0
251,Jilib,SO,2021-06-07 00:12:11,0.4883,42.7854,71.55,97,97,6.04
252,Lovozero,RU,2021-06-07 00:12:11,68.005,35.0117,38.68,72,5,2.86
253,Knappskog,NO,2021-06-07 00:12:11,60.3819,5.0558,55.29,63,0,7.83
254,Qiqihar,CN,2021-06-07 00:12:12,47.3408,123.9672,70.27,42,1,6.53
255,Mehamn,NO,2021-06-07 00:07:39,71.0357,27.8492,40.01,69,4,3.06
256,Huaiyin,CN,2021-06-07 00:12:12,33.5886,119.0192,83.43,41,100,11.1
257,Mut,TR,2021-06-07 00:10:15,36.6439,33.4389,65.79,34,0,4.79
258,Ugoofaaru,MV,2021-06-07 00:12:13,5.6667,73.0,82.54,77,100,16.08
259,Barcelos,PT,2021-06-07 00:02:32,41.5388,-8.6151,63.91,85,4,1.45
