City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Crisan,RO,2021-06-06 18:32:00,44.9667,29.4667,66.2,72,47,2.3
255,Chumikan,RU,2021-06-06 18:29:50,54.7183,135.315,33.64,98,91,0.67
256,Whyalla,AU,2021-06-06 18:31:07,-33.0333,137.5833,57.09,72,4,13.8
257,Te Anau,NZ,2021-06-06 18:29:05,-45.4167,167.7167,36.45,93,20,1.25
258,Fort Nelson,CA,2021-06-06 18:30:13,58.8053,-122.7002,51.39,93,90,10.36
259,Goure,NE,2021-06-06 18:32:00,13.9835,10.2704,99.01,23,99,3.8
260,Taganak,PH,2021-06-06 18:32:01,6.0833,118.3,77.14,70,100,1.54
261,Leh,IN,2021-06-06 18:32:02,34.1667,77.5833,51.93,28,0,6.33
262,Mount Gambier,AU,2021-06-06 18:31:47,-37.8333,140.7667,55.31,76,75,17.27
263,Bereda,ES,2021-06-06 18:31:14,43.2686,-7.5406,64.42,78,23,5.73
264,Sitka,US,2021-06-06 18:32:02,57.0531,-135.33,51.8,76,90,3.44
265,Alcudia,ES,2021-06-06 18:32:03,39.8532,3.1214,72.0,70,6,3.0
266,Thinadhoo,MV,2021-06-06 18:32:03,0.5333,72.9333,83.21,74,21,12.35
267,Inuvik,CA,2021-06-06 18:29:13,68.3499,-133.7218,38.16,60,75,8.05
268,Inhambane,MZ,2021-06-06 18:32:04,-23.865,35.3833,66.18,72,20,6.91
269,Marzuq,YE,2021-06-06 18:32:04,14.4,46.4667,85.42,30,40,4.68
270,Lasa,IT,2021-06-06 18:32:05,46.6166,10.7002,73.4,67,75,8.05
271,Kautokeino,NO,2021-06-06 18:32:05,69.0125,23.0412,57.16,33,4,8.5
272,Cayenne,GF,2021-06-06 18:32:05,4.9333,-52.3333,84.24,78,75,4.0
273,Puerto Madryn,AR,2021-06-06 18:32:06,-42.7692,-65.0385,54.46,40,14,22.01
274,Rosamorada,MX,2021-06-06 18:32:06,22.1222,-105.2058,101.71,27,4,8.97
275,Port-Gentil,GA,2021-06-06 18:32:07,-0.7193,8.7815,80.6,83,40,10.36
276,Nago,JP,2021-06-06 18:32:07,26.5881,127.9761,77.16,92,100,7.11
277,Turayf,SA,2021-06-06 18:32:08,31.6725,38.6637,84.45,17,0,5.75
278,Georgetown,MY,2021-06-06 18:32:08,5.4112,100.3354,82.33,88,20,3.0
279,Cherskiy,RU,2021-06-06 18:32:08,68.75,161.3,62.47,45,100,15.17
280,Korop,UA,2021-06-06 18:32:09,51.5664,32.9586,57.31,94,100,5.59
281,Kodiak,US,2021-06-06 18:32:09,57.79,-152.4072,60.31,36,1,21.85
282,Washington,US,2021-06-06 18:30:05,47.5001,-120.5015,56.57,44,100,3.87
283,Lazarev,RU,2021-06-06 18:32:10,52.225,141.5131,38.43,95,100,7.67
284,Salta,AR,2021-06-06 18:29:19,-24.7859,-65.4117,64.99,64,40,5.01
285,Fairbanks,US,2021-06-06 18:32:11,64.8378,-147.7164,64.49,56,1,0.0
286,Lumsden,CA,2021-06-06 18:30:49,50.6501,-104.8678,70.88,42,93,21.14
287,Kruisfontein,ZA,2021-06-06 18:32:11,-34.0033,24.7314,63.0,32,0,1.99
288,Taree,AU,2021-06-06 18:32:12,-31.9,152.4667,47.34,81,1,8.05
289,Kawalu,ID,2021-06-06 18:32:12,-7.3817,108.2082,72.21,98,99,0.51
290,Sidney,AU,2021-06-06 18:30:58,-33.8679,151.2073,54.0,87,0,10.36
